feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
principled_expression_no_position,0.7,13,632,271,logreg,0.7386454183266933,0.2055591614616132,,,0.2,0.16,0.15
principled_expression_no_position,0.7,13,632,271,rf,0.847410358565737,0.5211650618461764,,,0.6,0.28,0.16
principled_expression_no_position,0.7,13,632,271,xgb,0.85,0.548451346840005,,,0.6,0.28,0.17
principled_expression_no_position,0.7,13,632,271,ensemble,0.8585657370517927,0.575522719457444,,,0.55,0.3,0.18
principled_expression_no_position,0.7,14,632,271,logreg,0.6169322709163345,0.1223585134298078,,,0.2,0.12,0.11
principled_expression_no_position,0.7,14,632,271,rf,0.6696215139442232,0.28676652675993053,,,0.25,0.24,0.13
principled_expression_no_position,0.7,14,632,271,xgb,0.7227091633466136,0.36017812188599124,,,0.35,0.24,0.12
principled_expression_no_position,0.7,14,632,271,ensemble,0.694422310756972,0.3200066595819314,,,0.35,0.14,0.13
principled_expression_no_position,0.7,15,632,271,logreg,0.7583665338645418,0.2571695399688274,,,0.25,0.2,0.17
principled_expression_no_position,0.7,15,632,271,rf,0.770816733067729,0.39366175269054127,,,0.3,0.2,0.16
principled_expression_no_position,0.7,15,632,271,xgb,0.7109561752988047,0.4248772515482812,,,0.35,0.2,0.13
principled_expression_no_position,0.7,15,632,271,ensemble,0.7820717131474104,0.4361201363597614,,,0.35,0.22,0.17
principled_expression_no_position,0.7,16,632,271,logreg,0.7207171314741035,0.3181667730419099,,,0.4,0.18,0.14
principled_expression_no_position,0.7,16,632,271,rf,0.7629482071713147,0.5090207792226393,,,0.5,0.22,0.14
principled_expression_no_position,0.7,16,632,271,xgb,0.7442231075697212,0.4400133564594072,,,0.45,0.22,0.14
principled_expression_no_position,0.7,16,632,271,ensemble,0.7434262948207171,0.4970616048046495,,,0.5,0.2,0.14
principled_expression_no_position,0.7,17,632,271,logreg,0.8239043824701195,0.43237854623193955,,,0.55,0.26,0.16
principled_expression_no_position,0.7,17,632,271,rf,0.798406374501992,0.3768622191248831,,,0.4,0.24,0.15
principled_expression_no_position,0.7,17,632,271,xgb,0.7768924302788844,0.39121623430524477,,,0.35,0.2,0.15
principled_expression_no_position,0.7,17,632,271,ensemble,0.8135458167330678,0.44630508346126463,,,0.4,0.26,0.16
principled_expression_no_position,0.7,18,632,271,logreg,0.7304780876494024,0.2197999544271788,,,0.3,0.16,0.13
principled_expression_no_position,0.7,18,632,271,rf,0.7285856573705178,0.32332572198103743,,,0.35,0.2,0.13
principled_expression_no_position,0.7,18,632,271,xgb,0.7400398406374502,0.3909179608239097,,,0.35,0.16,0.13
principled_expression_no_position,0.7,18,632,271,ensemble,0.7601593625498008,0.38242358562938206,,,0.35,0.22,0.14
principled_expression_no_position,0.7,19,632,271,logreg,0.8145418326693227,0.2981179856435513,,,0.35,0.26,0.17
principled_expression_no_position,0.7,19,632,271,rf,0.8031872509960158,0.44646810827935396,,,0.4,0.24,0.16
principled_expression_no_position,0.7,19,632,271,xgb,0.8103585657370518,0.4250159741013145,,,0.4,0.26,0.15
principled_expression_no_position,0.7,19,632,271,ensemble,0.8591633466135458,0.49336683852874813,,,0.5,0.3,0.18
principled_expression_no_position,0.7,20,632,271,logreg,0.7792828685258963,0.3095269921449667,,,0.3,0.22,0.15
principled_expression_no_position,0.7,20,632,271,rf,0.7719123505976095,0.47978230379432735,,,0.5,0.26,0.15
principled_expression_no_position,0.7,20,632,271,xgb,0.749402390438247,0.37890888578778736,,,0.45,0.24,0.14
principled_expression_no_position,0.7,20,632,271,ensemble,0.7948207171314741,0.46950473123901115,,,0.5,0.26,0.16
principled_expression_no_position,0.8,1,722,181,logreg,0.7065868263473054,0.3111628411211539,,,0.25,0.14,0.1
principled_expression_no_position,0.8,1,722,181,rf,0.6742942686056459,0.3868403439458148,,,0.35,0.16,0.09
principled_expression_no_position,0.8,1,722,181,xgb,0.6907613344739093,0.497469472158854,,,0.35,0.18,0.09
principled_expression_no_position,0.8,1,722,181,ensemble,0.7630453378956372,0.5272168341708506,,,0.4,0.16,0.11
principled_expression_no_position,0.8,2,722,181,logreg,0.6847733105218136,0.3788985140939899,,,0.25,0.16,0.1
principled_expression_no_position,0.8,2,722,181,rf,0.6511976047904192,0.32843612701343783,,,0.25,0.12,0.1
principled_expression_no_position,0.8,2,722,181,xgb,0.7010265183917879,0.29813670527575276,,,0.2,0.16,0.1
principled_expression_no_position,0.8,2,722,181,ensemble,0.6663815226689479,0.36214681880232985,,,0.3,0.14,0.1
principled_expression_no_position,0.8,3,722,181,logreg,0.7463644140290846,0.2570842653483152,,,0.2,0.2,0.11
