feature_set,train_frac,model,n_splits,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,precision_at_20_mean,precision_at_20_std,precision_at_50_mean,precision_at_50_std,precision_at_100_mean,precision_at_100_std
principled_expression_no_position,0.7,ensemble,20,0.7816633466135459,0.04511110122189751,0.46385069298348414,0.06181115010535667,0.4575,0.06129093691051248,0.24699999999999997,0.04066551623336799,0.15300000000000005,0.01417930292993796
principled_expression_no_position,0.7,logreg,20,0.7457071713147411,0.05127230388086403,0.28082749551287123,0.07055503949570492,0.3175,0.09072079782439492,0.20999999999999996,0.0375569742629711,0.14400000000000002,0.016026294183720636
principled_expression_no_position,0.7,rf,20,0.768914342629482,0.04171009586400224,0.4255147760771143,0.06371286697846579,0.4375,0.08090767968233267,0.24,0.029019050004400474,0.146,0.009947229183096797
principled_expression_no_position,0.7,xgb,20,0.7603685258964143,0.033698448966092004,0.4174975199161734,0.06766750164165708,0.4074999999999999,0.05910516942393093,0.231,0.02936162909577558,0.1405,0.01234376040972246
principled_expression_no_position,0.8,ensemble,20,0.7735029940119761,0.06930145114677291,0.49844037830628807,0.09004673912274791,0.3875,0.07758696309371352,0.18700000000000003,0.02992974229231201,0.1135,0.012258187382102496
principled_expression_no_position,0.8,logreg,20,0.7496150556030796,0.061376621933070384,0.325806738840511,0.08942528073740105,0.305,0.07930620205387802,0.17600000000000002,0.026437612759495754,0.1135,0.011367080817685315
principled_expression_no_position,0.8,rf,20,0.7639863130881095,0.06849465951982743,0.46933858483485674,0.09764432658707102,0.36500000000000005,0.07963733586175453,0.18400000000000002,0.030157481397002077,0.11199999999999999,0.009514531821875087
principled_expression_no_position,0.8,xgb,20,0.7492728828058169,0.06226983337541905,0.4433254143072487,0.09451127888470902,0.3175,0.07656266783010605,0.18400000000000002,0.027984958365822918,0.1075,0.011641577031891929
principled_expression_no_position,0.9,ensemble,20,0.7803571428571427,0.11244987062195755,0.48039190883619043,0.19612317445155097,0.21999999999999997,0.06766791978789545,0.11400000000000003,0.01957441939718372,0.07692307692307691,1.4238309865648918e-17
principled_expression_no_position,0.9,logreg,20,0.7577380952380952,0.10425085376813642,0.34304461158660626,0.1535040961520285,0.20750000000000002,0.06129093691051247,0.11300000000000003,0.018666040089734593,0.07692307692307691,1.4238309865648918e-17
principled_expression_no_position,0.9,rf,20,0.7887755102040817,0.09860488054105711,0.4585896846349778,0.15302380466990786,0.23000000000000004,0.04412899750790439,0.11300000000000003,0.019761738683361688,0.07692307692307691,1.4238309865648918e-17
principled_expression_no_position,0.9,xgb,20,0.7615646258503401,0.08646768502295828,0.42821858209099856,0.18250772068087268,0.2,0.0606976978666884,0.11600000000000002,0.01535543791899829,0.07692307692307691,1.4238309865648918e-17
