feature_set,train_frac,model,n_splits,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,precision_at_20_mean,precision_at_20_std,precision_at_50_mean,precision_at_50_std,precision_at_100_mean,precision_at_100_std
baseline_full,0.7,ensemble,20,0.7989043824701195,0.0488155636172867,0.5298324204189718,0.0777192039241504,0.5050000000000001,0.0646854738431727,0.2559999999999999,0.0387162416618794,0.1545,0.0139453821823041
baseline_full,0.7,logreg,20,0.7411254980079681,0.0615711537354986,0.345343217633357,0.0810080866477225,0.375,0.08506963092234,0.214,0.0373320801794691,0.1385,0.019269556026896
baseline_full,0.7,rf,20,0.796469123505976,0.0557034766345321,0.5194300403749048,0.0753788538333546,0.4800000000000001,0.0767771895949914,0.256,0.0347017366469718,0.148,0.0170448325245358
baseline_full,0.7,xgb,20,0.7724003984063745,0.0377662674479783,0.5149890036579604,0.070563412583642,0.4775,0.059548741645638,0.2479999999999999,0.018806493839265,0.1445,0.0109904264559756
baseline_full,0.8,ensemble,20,0.7941402908468777,0.0609674925169828,0.5567943830506359,0.094625636068922,0.4049999999999999,0.0759154654516248,0.199,0.0263378854604221,0.1149999999999999,0.0105131496607569
baseline_full,0.8,logreg,20,0.7477972626176219,0.0550460377502738,0.3827097509320504,0.0802146457166597,0.3299999999999999,0.0615587011251092,0.176,0.0211261872914561,0.1105,0.0127630222456166
baseline_full,0.8,rf,20,0.8093135158254918,0.0625786606132983,0.557791897030502,0.0892862394277441,0.3975,0.0751752338837312,0.202,0.0250473236305324,0.1184999999999999,0.0126802789276975
baseline_full,0.8,xgb,20,0.7716210436270317,0.0636147529935813,0.5092137679435759,0.1068184481338316,0.37,0.0767771895949914,0.188,0.0237531161390624,0.1129999999999999,0.013018205875255
baseline_full,0.9,ensemble,20,0.7996598639455782,0.1161383037138593,0.5382894558674727,0.1921264014262778,0.2425,0.0634013946384877,0.117,0.0236420677695723,0.0769230769230769,1.4238309865648918e-17
baseline_full,0.9,logreg,20,0.7680272108843537,0.1122617136336958,0.4188746955874347,0.1559716143647395,0.22,0.0695852373938459,0.113,0.0227341616353706,0.0769230769230769,1.4238309865648918e-17
baseline_full,0.9,rf,20,0.8314625850340136,0.0983305501711946,0.5550340422801673,0.1953053167637087,0.255,0.051041778553404,0.122,0.0170448325245358,0.0769230769230769,1.4238309865648918e-17
baseline_full,0.9,xgb,20,0.7779761904761904,0.0987250314000772,0.5019242486141604,0.1858940099823475,0.225,0.0525657483037846,0.118,0.0182381901225798,0.0769230769230769,1.4238309865648918e-17
