feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
baseline_full,0.7,14,632,271,logreg,0.594820717131474,0.1377124955587153,,,0.2,0.1,0.1
baseline_full,0.7,14,632,271,rf,0.6423306772908367,0.3319888877333981,,,0.35,0.2,0.11
baseline_full,0.7,14,632,271,xgb,0.6966135458167331,0.35142526851743133,,,0.4,0.2,0.13
baseline_full,0.7,14,632,271,ensemble,0.6731075697211155,0.288401140347754,,,0.35,0.16,0.12
baseline_full,0.7,15,632,271,logreg,0.7890438247011952,0.33336828068662167,,,0.35,0.22,0.16
baseline_full,0.7,15,632,271,rf,0.8045816733067729,0.5299859057655043,,,0.5,0.26,0.16
baseline_full,0.7,15,632,271,xgb,0.7663346613545816,0.5043193999808024,,,0.4,0.24,0.14
baseline_full,0.7,15,632,271,ensemble,0.8191235059760956,0.5426887495168855,,,0.45,0.28,0.16
baseline_full,0.7,16,632,271,logreg,0.7468127490039841,0.4314951029212312,,,0.45,0.24,0.14
baseline_full,0.7,16,632,271,rf,0.7317729083665339,0.4421663986007545,,,0.45,0.24,0.14
baseline_full,0.7,16,632,271,xgb,0.7398406374501991,0.46082734607635856,,,0.45,0.22,0.14
baseline_full,0.7,16,632,271,ensemble,0.7348605577689242,0.5339164813802938,,,0.55,0.22,0.14
baseline_full,0.7,17,632,271,logreg,0.8087649402390439,0.41193470344389,,,0.4,0.24,0.17
baseline_full,0.7,17,632,271,rf,0.8092629482071713,0.4702979424234836,,,0.4,0.24,0.16
baseline_full,0.7,17,632,271,xgb,0.7784860557768924,0.4624543788142822,,,0.4,0.24,0.16
baseline_full,0.7,17,632,271,ensemble,0.8123505976095616,0.4896483600357582,,,0.4,0.26,0.17
baseline_full,0.7,18,632,271,logreg,0.7930278884462151,0.3731825804196942,,,0.4,0.24,0.15
baseline_full,0.7,18,632,271,rf,0.7217131474103586,0.4365184586386274,,,0.4,0.18,0.11
baseline_full,0.7,18,632,271,xgb,0.7691235059760957,0.49311325896857916,,,0.45,0.26,0.15
baseline_full,0.7,18,632,271,ensemble,0.8179282868525896,0.498062362351005,,,0.45,0.26,0.16
baseline_full,0.7,19,632,271,logreg,0.8137450199203187,0.42352276289983304,,,0.45,0.26,0.17
baseline_full,0.7,19,632,271,rf,0.8519920318725099,0.5524197000921252,,,0.5,0.28,0.16
baseline_full,0.7,19,632,271,xgb,0.8346613545816733,0.5480019074002938,,,0.55,0.26,0.16
baseline_full,0.7,19,632,271,ensemble,0.8721115537848608,0.6059996215032216,,,0.6,0.32,0.18
baseline_full,0.7,20,632,271,logreg,0.7523904382470119,0.3618775187396147,,,0.35,0.22,0.14
baseline_full,0.7,20,632,271,rf,0.828784860557769,0.6186582936232887,,,0.5,0.28,0.16
baseline_full,0.7,20,632,271,xgb,0.8077689243027888,0.614639390432905,,,0.55,0.26,0.16
baseline_full,0.7,20,632,271,ensemble,0.8173306772908366,0.6080511918174838,,,0.55,0.26,0.16
baseline_full,0.8,1,722,181,logreg,0.7711719418306244,0.42211794842852685,,,0.35,0.18,0.1
baseline_full,0.8,1,722,181,rf,0.7929854576561164,0.635846328012773,,,0.45,0.18,0.12
baseline_full,0.8,1,722,181,xgb,0.6976047904191617,0.5771484061953824,,,0.4,0.16,0.08
baseline_full,0.8,1,722,181,ensemble,0.8284858853721129,0.6401297741455431,,,0.45,0.2,0.11
