feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
principled_expression,0.7,1,632,271,logreg,0.749003984063745,0.30211095996531095,,,0.3,0.2,0.13
principled_expression,0.7,1,632,271,rf,0.7664342629482072,0.5215814477509387,,,0.55,0.26,0.14
principled_expression,0.7,1,632,271,xgb,0.7563745019920319,0.5782074718446439,,,0.5,0.26,0.13
principled_expression,0.7,1,632,271,ensemble,0.801195219123506,0.5817952077602979,,,0.55,0.24,0.14
principled_expression,0.7,2,632,271,logreg,0.7679282868525897,0.32357844073421915,,,0.4,0.26,0.14
principled_expression,0.7,2,632,271,rf,0.8522908366533865,0.5625048622419527,,,0.5,0.3,0.16
principled_expression,0.7,2,632,271,xgb,0.7962151394422312,0.501341137932258,,,0.45,0.26,0.15
principled_expression,0.7,2,632,271,ensemble,0.8051792828685259,0.5474448029854978,,,0.45,0.26,0.16
principled_expression,0.7,3,632,271,logreg,0.7476095617529881,0.3155920960090354,,,0.3,0.22,0.14
principled_expression,0.7,3,632,271,rf,0.725,0.5568565239982264,,,0.5,0.26,0.13
principled_expression,0.7,3,632,271,xgb,0.7643426294820717,0.5377290643884114,,,0.5,0.22,0.14
principled_expression,0.7,3,632,271,ensemble,0.7713147410358565,0.5735321701654371,,,0.55,0.24,0.15
principled_expression,0.7,4,632,271,logreg,0.6836653386454183,0.25108157539922993,,,0.25,0.2,0.13
principled_expression,0.7,4,632,271,rf,0.7612549800796813,0.4827006576350439,,,0.5,0.26,0.14
principled_expression,0.7,4,632,271,xgb,0.7764940239043825,0.46786122985841944,,,0.45,0.28,0.14
principled_expression,0.7,4,632,271,ensemble,0.7503984063745021,0.46365423806811895,,,0.55,0.22,0.15
principled_expression,0.7,5,632,271,logreg,0.7278884462151395,0.40606920613642655,,,0.4,0.24,0.13
principled_expression,0.7,5,632,271,rf,0.7715139442231076,0.5137136810462621,,,0.45,0.24,0.14
principled_expression,0.7,5,632,271,xgb,0.7593625498007968,0.4884417171444433,,,0.5,0.24,0.14
principled_expression,0.7,5,632,271,ensemble,0.7350597609561752,0.522785448224162,,,0.5,0.24,0.13
